gene_symbol,ukb_code,uniprot_id,protein_name,chr_hg19,start_bp_hg19,end_bp_hg19,olink_panel
IL15RA,1372,Q13261,Interleukin-15 receptor subunit alpha,10,5990855,6020150,Inflammation
IL16,1373,Q14005,Pro-interleukin-16,15,81451916,81605104,Inflammation
IL17C,1375,Q9P0M4,Interleukin-17C,16,88704999,88706881,Inflammation
IL17D,1376,Q8TAD2,Interleukin-17D,13,21276266,21297237,Inflammation
IL17RA,1378,Q96F46,Interleukin-17 receptor A,22,17565844,17596583,Neurology
IL17RB,1379,Q9NRM6,Interleukin-17 receptor B,3,53880607,53899827,Inflammation
IL18,1380,Q14116,Interleukin-18,11,112013974,112034840,Inflammation
IL18R1,1382,Q13478,Interleukin-18 receptor 1,2,102927989,103015218,Inflammation
IL19,1384,Q9UHD0,Interleukin-19,1,206972215,207016324,Cardiometabolic
IL1R1,1387,P14778,Interleukin-1 receptor type 1,2,102681004,102796334,Neurology
IL1R2,1388,P27930,Interleukin-1 receptor type 2,2,102608306,102645006,Inflammation
IL1RAP,1389,Q9NPH3,Interleukin-1 receptor accessory protein,3,190231840,190375843,Neurology
IL1RL1,1390,Q01638,Interleukin-1 receptor-like 1,2,102927962,102968497,Cardiometabolic
IL1RL2,1391,Q9HB29,Interleukin-1 receptor-like 2,2,102803433,102856462,Inflammation
IL1RN,1392,P18510,Interleukin-1 receptor antagonist protein,2,113864791,113891593,Inflammation
IL22RA1,1399,Q8N6P7,Interleukin-22 receptor subunit alpha-1,1,24446261,24469611,Inflammation
IL2RA,1402,P01589,Interleukin-2 receptor subunit alpha,10,6052652,6104288,Cardiometabolic
IL31RA,1407,Q8NI17,Interleukin-31 receptor subunit alpha,5,55147207,55218678,Inflammation II
IL32,1408,P24001,Interleukin-32,16,3115298,3131908,Inflammation
IL34,1410,Q6ZMJ4,Interleukin-34,16,70613798,70694585,Neurology
IL4R,1415,P24394,Interleukin-4 receptor subunit alpha,16,27324989,27376099,Inflammation
IL5RA,1417,Q01344,Interleukin-5 receptor subunit alpha,3,3111233,3168297,Inflammation
IL6R,1419,P08887,Interleukin-6 receptor subunit alpha,1,154377669,154441926,Cardiometabolic
IL6ST,1420,P40189,Interleukin-6 receptor subunit beta,5,55230923,55290821,Cardiometabolic
IL7R,1422,P16871,Interleukin-7 receptor subunit alpha,5,35852797,35879705,Neurology
IMPA1,1426,P29218,Inositol monophosphatase 1,8,82570196,82598928,Neurology
INHBB,1430,P09529,Inhibin beta B chain,2,121103719,121109384,Inflammation II
INHBC,1431,P55103,Inhibin beta C chain,12,57828543,57844611,Neurology
INPP5D,1433,Q92835,"Phosphatidylinositol 3,4,5-trisphosphate 5-phosphatase 1",2,233924677,234116549,Cardiometabolic II
INSL5,1438,Q9Y5Q6,Insulin-like peptide INSL5,1,67263424,67266939,Oncology II
IQGAP2,1441,Q13576,Ras GTPase-activating-like protein IQGAP2,5,75699074,76003957,Oncology
ISLR2,1445,Q6UXK2,Immunoglobulin superfamily containing leucine-rich repeat protein 2,15,74392652,74430881,Neurology
ISM1,1446,B1AKI9,Isthmin-1,20,13202418,13281298,Inflammation
ITGA11,1449,Q9UKX5,Integrin alpha-11,15,68594050,68724501,Inflammation
ITGA2,1450,P17301,Integrin alpha-2,5,52285156,52390609,Inflammation II
ITGA6,1452,P23229,Integrin alpha-6,2,173292082,173371181,Inflammation
ITGAL,1453,P20701,Integrin alpha-L,16,30483979,30534506,Inflammation II
ITGAM,1454,P11215,Integrin alpha-M,16,31271311,31344213,Neurology
ITGAV,1455,P06756,Integrin alpha-V,2,187454792,187545628,Oncology
ITGB6,1462,P18564,Integrin beta-6,2,160956177,161128399,Inflammation
ITGBL1,1464,O95965,Integrin beta-like protein 1,13,102104966,102375456,Cardiometabolic II
ITIH3,1466,Q06033,Inter-alpha-trypsin inhibitor heavy chain H3,3,52828784,52843025,Cardiometabolic
ITIH4,1467,Q14624,Inter-alpha-trypsin inhibitor heavy chain H4,3,52846991,52865495,Inflammation II
ITPA,1470,Q9BY32,Inosine triphosphate pyrophosphatase,20,3189514,3204516,Cardiometabolic II
KAZALD1,1481,Q96I82,Kazal-type serine protease inhibitor domain-containing protein 1,10,102821598,102827888,Oncology
KDR,1488,P35968,Vascular endothelial growth factor receptor 2,4,55944644,55991756,Oncology
KEL,1489,P23276,Kell blood group glycoprotein,7,142638201,142659768,Neurology
KHK,1491,P50053,Ketohexokinase,2,27309615,27323640,Cardiometabolic II
KIAA0319,1492,Q5VV43,Dyslexia-associated protein KIAA0319,6,24544332,24646383,Neurology II
KIR2DL3,1501,P43628,Killer cell immunoglobulin-like receptor 2DL3,19,55249980,55295776,Oncology
KIR2DS4,1502,P43632,Killer cell immunoglobulin-like receptor 2DS4,19,55344131,55360024,Oncology II
KIR3DL1,1503,P43629,Killer cell immunoglobulin-like receptor 3DL1,19,55235969,55378448,Oncology
KIRREL2,1506,Q6UWL6,Kin of IRRE-like protein 2,19,36346763,36358011,Neurology
KLB,1509,Q86Z14,Beta-klotho,4,39408473,39453156,Neurology
KLK1,1512,P06870,Kallikrein-1,19,51322404,51327043,Oncology
KLK10,1513,O43240,Kallikrein-10,19,51515995,51523431,Oncology
KLK11,1514,Q9UBX7,Kallikrein-11,19,51525472,51531295,Oncology
KLK12,1515,Q9UKR0,Kallikrein-12,19,51532348,51538486,Oncology
KLK13,1516,Q9UKR3,Kallikrein-13,19,51559463,51568371,Oncology
KLK14,1517,Q9P0G3,Kallikrein-14,19,51580752,51587502,Oncology
KLK15,1518,Q9H2R5,Kallikrein-15,19,51328545,51340469,Oncology II
KLK3,1519,P07288,Prostate-specific antigen,19,51358171,51364020,Cardiometabolic II
KLK4,1520,Q9Y5K2,Kallikrein-4,19,51409608,51413994,Oncology
KLK6,1521,Q92876,Kallikrein-6,19,51461887,51472929,Oncology
KLK7,1522,P49862,Kallikrein-7,19,51479729,51487355,Inflammation II
KLK8,1523,O60259,Kallikrein-8,19,51499263,51505967,Oncology
KLKB1,1524,P03952,Plasma kallikrein,4,187130133,187179625,Inflammation II
KLRB1,1525,Q12918,Killer cell lectin-like receptor subfamily B member 1,12,9747147,9760482,Inflammation
KLRD1,1527,Q13241,Natural killer cells antigen CD94,12,10378657,10469850,Inflammation
KLRF1,1528,Q9NZS2,Killer cell lectin-like receptor subfamily F member 1,12,9980077,9997606,Inflammation II
KLRK1,1529,P26718,NKG2-D type II integral membrane protein,12,10524952,10544473,Neurology II
KYNU,1538,Q16719,Kynureninase,2,143635067,143799890,Inflammation
LACTB2,1542,Q53H82,Endoribonuclease LACTB2,8,71547553,71581409,Cardiometabolic
LAG3,1543,P18627,Lymphocyte activation gene 3 protein,12,6881678,6887621,Oncology
LAIR1,1544,Q6GTX8,Leukocyte-associated immunoglobulin-like receptor 1,19,54865362,54882165,Inflammation
LAIR2,1545,Q6ISS4,Leukocyte-associated immunoglobulin-like receptor 2,19,55009100,55021897,Neurology
LAMA4,1547,Q16363,Laminin subunit alpha-4,6,112429963,112576141,Inflammation
LAMB1,1548,P07942,Laminin subunit beta-1,7,107564244,107643700,Cardiometabolic II
LAMP3,1551,Q9UQV4,Lysosome-associated membrane glycoprotein 3,3,182840001,182881627,Inflammation
LAYN,1558,Q6UX15,Layilin,11,111411005,111432264,Neurology
LBP,1559,P18428,Lipopolysaccharide-binding protein,20,36974759,37005665,Cardiometabolic
LCN15,1562,Q6UWW0,Lipocalin-15,9,139654086,139660707,Neurology II
LCP1,1564,P13796,Plastin-2,13,46700055,46786006,Cardiometabolic II
LECT2,1567,O14960,Leukocyte cell-derived chemotaxin-2,5,135257968,135290723,Cardiometabolic II
LEFTY2,1568,O00292,Left-right determination factor 2,1,226124298,226129189,Oncology
LEG1,1569,Q6P5S2,Protein LEG1 homolog,6,127840600,127912962,Inflammation II
LEPR,1573,P48357,Leptin receptor,1,65886248,66107242,Cardiometabolic
LGALS1,1575,P09382,Galectin-1,22,38071615,38075813,Cardiometabolic
LGALS3,1576,P17931,Galectin-3,14,55590828,55612126,Cardiometabolic
LGALS4,1578,P56470,Galectin-4,19,39292311,39304004,Inflammation
LGALS7_LGALS7B,1579,P47929,Galectin-7,19,39261611,39282389,Oncology
LGALS8,1580,O00214,Galectin-8,1,236681300,236716281,Neurology
LGALS9,1581,O00182,Galectin-9,17,25956824,25976586,Inflammation
LGMN,1582,Q99538,Legumain,14,93170152,93215047,Inflammation
LHPP,1584,Q9H008,Phospholysine phosphohistidine inorganic pyrophosphate phosphatase,10,126150403,126306457,Inflammation
LIFR,1586,P42702,Leukemia inhibitory factor receptor,5,38475065,38608456,Inflammation
LILRA2,1587,Q8N149,Leukocyte immunoglobulin-like receptor subfamily A member 2,19,55084387,55099027,Neurology
LILRA3,1588,Q8N6C8,Leukocyte immunoglobulin-like receptor subfamily A member 3,19,54799854,54809952,Cardiometabolic II
LILRA5,1590,A6NI73,Leukocyte immunoglobulin-like receptor subfamily A member 5,19,54818353,54824409,Cardiometabolic
LILRA6,1591,Q6PI73,Leukocyte immunoglobulin-like receptor subfamily A member 6,19,54720737,54746649,Cardiometabolic II
LILRB1,1592,Q8NHL6,Leukocyte immunoglobulin-like receptor subfamily B member 1,19,55085346,55148979,Cardiometabolic
LILRB2,1593,Q8N423,Leukocyte immunoglobulin-like receptor subfamily B member 2,19,54777675,54785039,Cardiometabolic
LILRB4,1594,Q8NHJ6,Leukocyte immunoglobulin-like receptor subfamily B member 4,19,55155340,55181810,Inflammation
LILRB5,1595,O75023,Leukocyte immunoglobulin-like receptor subfamily B member 5,19,54754263,54761164,Cardiometabolic
LIPF,1596,P07098,Gastric triacylglycerol lipase,10,90424198,90438571,Cardiometabolic II
LMOD1,1599,P29536,Leiomodin-1,1,201865580,201915715,Neurology II
LONP1,1601,P36776,"Lon protease homolog, mitochondrial",19,5691845,5720583,Cardiometabolic II
LPA,1602,P08519,Apolipoprotein(a),6,160952515,161087407,Inflammation II
LPL,1604,P06858,Lipoprotein lipase,8,19759228,19824769,Cardiometabolic
LPO,1605,P22079,Lactoperoxidase,17,56295909,56345879,Neurology
LRG1,1609,P02750,Leucine-rich alpha-2-glycoprotein,19,4536421,4540486,Inflammation II
LRIG1,1610,Q96JA1,Leucine-rich repeats and immunoglobulin-like domains protein 1,3,66429221,66551687,Oncology
LRP11,1613,Q86VZ4,Low-density lipoprotein receptor-related protein 11,6,150139934,150186199,Cardiometabolic
LRPAP1,1616,P30533,Alpha-2-macroglobulin receptor-associated protein,4,3508103,3534286,Neurology
LRRC25,1617,Q8N386,Leucine-rich repeat-containing protein 25,19,18501954,18508427,Oncology
LRRC37A2,1618,A6NM11,Leucine-rich repeat-containing protein 37A2,17,44588877,44633016,Oncology II
LRRC38,1619,Q5VT99,Leucine-rich repeat-containing protein 38,1,13801445,13840543,Neurology II
LRRN1,1622,Q6UXK5,Leucine-rich repeat neuronal protein 1,3,3841121,3889387,Inflammation
LSP1,1627,P33241,Lymphocyte-specific protein 1,11,1874200,1913497,Inflammation
LTA,1628,P01374,Lymphotoxin-alpha,6,31539831,31542101,Inflammation
LTB,1630,Q06643,Lymphotoxin-beta,6,31548302,31550299,Oncology II
LTBP2,1631,Q14767,Latent-transforming growth factor beta-binding protein 2,14,74964873,75079306,Cardiometabolic
LTBP3,1632,Q9NS15,Latent-transforming growth factor beta-binding protein 3,11,65306276,65326401,Oncology
LTBR,1633,P36941,Tumor necrosis factor receptor superfamily member 3,12,6484211,6500733,Inflammation
LUZP2,1635,Q86TE4,Leucine zipper protein 2,11,24518516,25104150,Oncology II
LXN,1636,Q9BS40,Latexin,3,158363611,158390482,Neurology
LY6D,1637,Q14210,Lymphocyte antigen 6D,8,143866296,143868008,Inflammation
LY75,1638,O60449,Lymphocyte antigen 75,2,160628362,160761260,Inflammation
LY9,1639,Q9HBG7,T-lymphocyte surface antigen Ly-9,1,160765864,160798051,Inflammation
LYPD3,1644,O95274,Ly6/PLAUR domain-containing protein 3,19,43964939,43969812,Oncology
LYPD8,1645,Q6UX82,Ly6/PLAUR domain-containing protein 8,1,248902716,248903170,Oncology
LYVE1,1648,Q9Y5Y7,Lymphatic vessel endothelial hyaluronic acid receptor 1,11,10578513,10633236,Inflammation II
LYZL2,1649,Q7Z4W2,Lysozyme-like protein 2,10,30900718,30918691,Oncology II
LZTFL1,1650,Q9NQ48,Leucine zipper transcription factor-like protein 1,3,45864808,45957534,Inflammation II
MAMDC2,1657,Q7Z304,MAM domain-containing protein 2,9,72658497,72841886,Cardiometabolic II
MAMDC4,1658,Q6UXC1,Apical endosomal glycoprotein,9,139745395,139755249,Oncology II
MAN1A2,1659,O60476,"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IB",1,117910071,118071494,Cardiometabolic II
MAN2B2,1660,Q9Y2E5,Epididymis-specific alpha-mannosidase,4,6576902,6625089,Cardiometabolic II
MANSC4,1664,A6NHS7,MANSC domain-containing protein 4,12,27915671,27924209,Cardiometabolic II
MAP4K5,1671,Q9Y4K4,Mitogen-activated protein kinase kinase kinase kinase 5,14,50885219,51027844,Neurology
MAPKAPK2,1674,P49137,MAP kinase-activated protein kinase 2,1,206858289,206907628,Oncology II
MARCO,1677,Q9UEW3,Macrophage receptor MARCO,2,119699742,119752236,Cardiometabolic
MASP1,1679,P48740,Mannan-binding lectin serine protease 1,3,186935942,187009810,Neurology
MATN2,1680,O00339,Matrilin-2,8,98881068,99048944,Inflammation
MATN3,1681,O15232,Matrilin-3,2,20191872,20212455,Neurology
MBL2,1685,P11226,Mannose-binding protein C,10,54525140,54531460,Inflammation II
MCAM,1686,P43121,Cell surface glycoprotein MUC18,11,119179241,119192231,Cardiometabolic
MCEE,1687,Q96PE7,"Methylmalonyl-CoA epimerase, mitochondrial",2,71336814,71357369,Neurology II
MCEMP1,1688,Q8IX19,Mast cell-expressed membrane protein 1,19,7741514,7744712,Inflammation II
MDGA1,1691,Q8NFP4,MAM domain-containing glycosylphosphatidylinositol anchor protein 1,6,37600284,37667082,Neurology
MDM1,1694,Q8TC05,Nuclear protein MDM1,12,68666223,68726161,Neurology II
MEGF10,1698,Q96KG7,Multiple epidermal growth factor-like domains protein 10,5,126626523,126801429,Inflammation
MEGF9,1700,Q9H1U4,Multiple epidermal growth factor-like domains protein 9,9,123363091,123476748,Cardiometabolic
MELTF,1701,P08582,Melanotransferrin,3,196715492,196756687,Cardiometabolic II
MEP1A,1703,Q16819,Meprin A subunit alpha,6,46761127,46807515,Oncology II
MEP1B,1704,Q16820,Meprin A subunit beta,18,29765032,29800367,Cardiometabolic
MEPE,1705,Q9NQ76,Matrix extracellular phosphoglycoprotein,4,88742563,88767969,Inflammation
MERTK,1706,Q12866,Tyrosine-protein kinase Mer,2,112656056,112787138,Inflammation
MET,1708,P08581,Hepatocyte growth factor receptor,7,116312444,116438440,Cardiometabolic
MFAP4,1714,P55083,Microfibril-associated glycoprotein 4,17,19286755,19290553,Inflammation II
MFAP5,1715,Q13361,Microfibrillar-associated protein 5,12,8789942,8815484,Cardiometabolic
MFGE8,1716,Q08431,Lactadherin,15,89441916,89456642,Neurology
MGMT,1718,P16455,Methylated-DNA--protein-cysteine methyltransferase,10,131265448,131566271,Inflammation
MIA,1719,Q16674,Melanoma-derived growth regulatory protein,19,41277553,41283395,Oncology
MICB_MICA,1721,Q29980_Q29983,MHC class I polypeptide-related sequence A_MHC class I polypeptide-related sequence B,6,31371356,31478901,Inflammation
MILR1,1723,Q7Z6M3,Allergin-1,17,62461569,62464760,Inflammation
MLN,1729,P12872,Promotilin,6,33762450,33771788,Inflammation
MMP1,1731,P03956,Interstitial collagenase,11,102660651,102668891,Inflammation
MMP10,1732,P09238,Stromelysin-2,11,102641234,102651359,Inflammation
MMP12,1733,P39900,Macrophage metalloelastase,11,102733467,102745712,Oncology
MMP13,1734,P45452,Collagenase 3,11,102813724,102826463,Neurology
MMP3,1736,P08254,Stromelysin-1,11,102706532,102714534,Neurology
MMP7,1737,P09237,Matrilysin,11,102391239,102401484,Cardiometabolic
MMP8,1738,P22894,Neutrophil collagenase,11,102582526,102597781,Neurology
MMP9,1739,P14780,Matrix metalloproteinase-9,20,44637547,44645200,Neurology
MOCS2,1744,O96007,Molybdopterin synthase catalytic subunit,5,52391509,52405893,Inflammation II
MOG,1745,Q16653,Myelin-oligodendrocyte glycoprotein,6,29624758,29640149,Oncology
MPI,1751,P34949,Mannose-6-phosphate isomerase,15,75182346,75191798,Oncology
MPO,1753,P05164,Myeloperoxidase,17,56347217,56358296,Neurology
MRC1,1755,P22897,Macrophage mannose receptor 1,10,18098352,18200091,Inflammation II
MRI1,1756,Q9BV20,Methylthioribose-1-phosphate isomerase,19,13875346,13885096,Neurology II
MSLN,1763,Q13421,Mesothelin,16,810762,818865,Oncology
MSR1,1766,P21757,Macrophage scavenger receptor types I and II,8,15965387,16424999,Neurology
MST1,1768,P26927,Hepatocyte growth factor-like protein,3,49721380,49726934,Inflammation II
MTHFD2,1771,P13995,"Bifunctional methylenetetrahydrofolate dehydrogenase/cyclohydrolase, mitochondrial",2,74425689,74444692,Neurology II
MTHFSD,1772,Q2M296,Methenyltetrahydrofolate synthase domain-containing protein,16,86563782,86588841,Oncology II
MTUS1,1778,Q9ULD2,Microtubule-associated tumor suppressor 1,8,17501304,17658426,Oncology II
MUC13,1779,Q9H3R2,Mucin-13,3,124624289,124672663,Neurology
MUC2,1781,Q02817,Mucin-2,11,1074875,1104419,Cardiometabolic II
MYOC,1799,Q99972,Myocilin,1,171604557,171621823,Neurology
NAAA,1807,Q02083,N-acylethanolamine-hydrolyzing acid amidase,4,76831809,76862204,Neurology
NADK,1809,O95544,NAD kinase,1,1682671,1711896,Cardiometabolic
NAGK,1811,Q9UJ70,N-acetyl-D-glucosamine kinase,2,71291474,71306935,Cardiometabolic II
NAGPA,1812,Q9UK23,N-acetylglucosamine-1-phosphodiester alpha-N-acetylglucosaminidase,16,5074845,5084142,Inflammation II
NAP1L4,1814,Q99733,Nucleosome assembly protein 1-like 4,11,2965667,3013607,Oncology II
NAPRT,1815,Q6XQN6,Nicotinate phosphoribosyltransferase,8,144656955,144660819,Neurology II
NCAM1,1819,P13591,Neural cell adhesion molecule 1,11,112831997,113149158,Cardiometabolic
NCAM2,1820,O15394,Neural cell adhesion molecule 2,21,22370633,22915650,Neurology
NCAN,1821,O14594,Neurocan core protein,19,19322782,19363042,Neurology
NCR1,1825,O76036,Natural cytotoxicity triggering receptor 1,19,55417508,55427508,Inflammation
NCR3LG1,1826,Q68D85,Natural cytotoxicity triggering receptor 3 ligand 1,11,17373273,17398888,Oncology II
NECTIN2,1836,Q92692,Nectin-2,19,45349432,45392485,Cardiometabolic
NECTIN4,1837,Q96NY8,Nectin-4,1,161040785,161059389,Oncology
NELL1,1842,Q92832,Protein kinase C-binding protein NELL1,11,20691117,21597227,Oncology
NELL2,1843,Q99435,Protein kinase C-binding protein NELL2,12,44902058,45315631,Inflammation
NFASC,1847,O94856,Neurofascin,1,204797779,204991950,Inflammation
NFATC1,1849,O95644,"Nuclear factor of activated T-cells, cytoplasmic 1",18,77155856,77289325,Inflammation
NFKBIE,1855,O00221,NF-kappa-B inhibitor epsilon,6,44225903,44233500,Oncology
NHLRC3,1862,Q5JS37,NHL repeat-containing protein 3,13,39612443,39624246,Inflammation II
NID1,1863,P14543,Nidogen-1,1,236139130,236228462,Cardiometabolic
NID2,1864,Q14112,Nidogen-2,14,52471521,52535712,Neurology
NINJ1,1865,Q92982,Ninjurin-1,9,95883771,95896570,Oncology
NIT1,1866,Q86X76,Deaminated glutathione amidase,1,161087876,161095235,Cardiometabolic II
NME3,1871,Q13232,Nucleoside diphosphate kinase 3,16,1820287,1821731,Inflammation
NMI,1872,Q13287,N-myc-interactor,2,152126979,152146571,Oncology II
NOS1,1878,P29475,"Nitric oxide synthase, brain",12,117645947,117889975,Neurology
NPC2,1884,P61916,NPC intracellular cholesterol transporter 2,14,74942895,74960880,Cardiometabolic II
NPHS1,1886,O60500,Nephrin,19,36316866,36360189,Inflammation II
NPL,1888,Q9BXD5,N-acetylneuraminate lyase,1,182758428,182799519,Cardiometabolic II
NPPB,1890,P16860,Natriuretic peptides B,1,11917521,11918988,Cardiometabolic
NPTX1,1894,Q15818,Neuronal pentraxin-1,17,78440948,78451643,Neurology
NPTX2,1895,P47972,Neuronal pentraxin-2,7,98246609,98259180,Cardiometabolic II
NPTXR,1896,O95502,Neuronal pentraxin receptor,22,39214457,39239987,Cardiometabolic
NPY,1897,P01303,Pro-neuropeptide Y,7,24323782,24331484,Oncology
NRCAM,1898,Q92823,Neuronal cell adhesion molecule,7,107788068,108097161,Cardiometabolic
NRP1,1901,O14786,Neuropilin-1,10,33466420,33625190,Cardiometabolic
NRP2,1902,O60462,Neuropilin-2,2,206546714,206662857,Neurology
NT5C,1906,Q8TCD5,"5'(3')-deoxyribonucleotidase, cytosolic type",17,73126320,73127890,Cardiometabolic II
NT5E,1909,P21589,5'-nucleotidase,6,86159809,86205500,Oncology
NTF3,1910,P20783,Neurotrophin-3,12,5541278,5630702,Inflammation
NTproBNP,1912,P16860,N-terminal prohormone of brain natriuretic peptide,1,11917521,11918988,Cardiometabolic
NTRK3,1914,Q16288,NT-3 growth factor receptor,15,88418230,88799999,Neurology
NUB1,1915,Q9Y5A7,NEDD8 ultimate buster 1,7,151038785,151075535,Inflammation
NUCB2,1917,P80303,Nucleobindin-2,11,17229700,17371521,Oncology
NUDT16,1921,Q96DE0,U8 snoRNA-decapping enzyme,3,131100515,131107674,Oncology II
NUDT2,1922,P50583,Bis(5'-nucleosyl)-tetraphosphatase [asymmetrical],9,34329504,34343709,Oncology
NXPH3,1928,O95157,Neurexophilin-3,17,47653220,47661189,Inflammation II
OBP2B,1929,Q9NPH6,Odorant-binding protein 2b,9,136080664,136084630,Neurology
ODAM,1931,A1E959,Odontogenic ameloblast-associated protein,4,71062213,71070293,Neurology
OGN,1935,P20774,Mimecan,9,95146249,95166978,Neurology
OLFM4,1937,Q6UX06,Olfactomedin-4,13,53602894,53626192,Inflammation II
OPLAH,1943,O14841,5-oxoprolinase,8,145106167,145118735,Cardiometabolic II
OPTC,1944,Q9UBM4,Opticin,1,203463271,203477992,Oncology
ORM1,1945,P02763,Alpha-1-acid glycoprotein 1,9,117085336,117088755,Inflammation II
OSCAR,1947,Q8IYS5,Osteoclast-associated immunoglobulin-like receptor,19,54597933,54606000,Inflammation
OSMR,1949,Q99650,Oncostatin-M-specific receptor subunit beta,5,38845960,38945698,Cardiometabolic
OXT,1955,P01178,Oxytocin-neurophysin 1,20,3052266,3053163,Neurology
PACS2,1957,Q86VP3,Phosphofurin acidic cluster sorting protein 2,14,105766900,105864484,Cardiometabolic II
PADI4,1959,Q9UM07,Protein-arginine deiminase type-4,1,17634690,17690499,Neurology
PAEP,1960,P09466,Glycodelin,9,138453602,138458801,Neurology
PALM,1968,O75781,Paralemmin-1,19,708953,748329,Oncology II
PALM2,1969,Q8IXS6,Paralemmin-2,9,112403068,112713755,Neurology II
PAM,1971,P19021,Peptidyl-glycine alpha-amidating monooxygenase,5,102089685,102366809,Cardiometabolic
PAMR1,1972,Q6UXH9,Inactive serine protease PAMR1,11,35453370,35551848,Neurology
PARK7,1975,Q99497,Parkinson disease protein 7,1,8014351,8045565,Neurology
PBLD,1979,P30039,Phenazine biosynthesis-like domain-containing protein,10,70042417,70092806,Neurology
PCBD1,1982,P61457,Pterin-4-alpha-carbinolamine dehydratase,10,72642037,72648541,Inflammation II
PCDH12,1985,Q9NPG4,Protocadherin-12,5,141323150,141349304,Neurology II
PCDH9,1988,Q9HC56,Protocadherin-9,13,66876967,67804468,Oncology II
PCDHB15,1989,Q9Y5E8,Protocadherin beta-15,5,140625147,140627799,Oncology II
PCOLCE,1991,Q15113,Procollagen C-endopeptidase enhancer 1,7,100199800,100205798,Cardiometabolic
PCSK7,1992,Q16549,Proprotein convertase subtilisin/kexin type 7,11,117075053,117103241,Oncology II
PCSK9,1993,Q8NBP7,Proprotein convertase subtilisin/kexin type 9,1,55505221,55530525,Cardiometabolic
PDCD1,1996,Q15116,Programmed cell death protein 1,2,242792033,242801060,Oncology
PDCD1LG2,1997,Q9BQ51,Programmed cell death 1 ligand 2,9,5510545,5571282,Oncology
PDCD5,1998,O14737,Programmed cell death protein 5,19,33071974,33078358,Neurology
PDCD6,1999,O75340,Programmed cell death protein 6,5,271736,353971,Cardiometabolic
PDE5A,2003,O76074,"cGMP-specific 3',5'-cyclic phosphodiesterase",4,120415550,120550146,Inflammation II
PDGFRA,2007,P16234,Platelet-derived growth factor receptor alpha,4,55095264,55164414,Cardiometabolic
PDGFRB,2008,P09619,Platelet-derived growth factor receptor beta,5,149493400,149535435,Cardiometabolic
PDIA5,2012,Q14554,Protein disulfide-isomerase A5,3,122785909,122944074,Oncology II
PDZD2,2018,O15018,PDZ domain-containing protein 2,5,31639517,32111037,Cardiometabolic II
PEAR1,2020,Q5VY43,Platelet endothelial aggregation receptor 1,1,156863490,156886226,Cardiometabolic
PECR,2023,Q9BY49,Peroxisomal trans-2-enoyl-CoA reductase,2,216861052,216947678,Cardiometabolic II
PENK,2024,P01210,Proenkephalin-A,8,57349233,57359293,Inflammation II
PEPD,2025,P12955,Xaa-Pro dipeptidase,19,33877856,34012700,Inflammation II
PER3,2026,P56645,Period circadian protein homolog 3,1,7844380,7905237,Inflammation II
PFKFB2,2031,O60825,"6-phosphofructo-2-kinase/fructose-2,6-bisphosphatase 2",1,207222801,207254369,Oncology
PGD,2033,P52209,"6-phosphogluconate dehydrogenase, decarboxylating",1,10458649,10480201,Cardiometabolic II
PGF,2034,P49763,Placenta growth factor,14,75408537,75422487,Inflammation
PGLYRP1,2035,O75594,Peptidoglycan recognition protein 1,19,46522411,46526323,Cardiometabolic
PGLYRP2,2036,Q96PD5,N-acetylmuramoyl-L-alanine amidase,19,15579456,15609767,Inflammation II
PGLYRP4,2037,Q96LB8,Peptidoglycan recognition protein 4,1,153302596,153321316,Cardiometabolic II
PHACTR2,2040,O75167,Phosphatase and actin regulator 2,6,143857982,144152322,Neurology II
PHYKPL,2044,Q8IUZ5,5-phosphohydroxy-L-lysine phospho-lyase,5,177635498,177659792,Inflammation II
PI16,2045,Q6UXB8,Peptidase inhibitor 16,6,36922209,36932613,Inflammation II
PI3,2046,P19957,Elafin,20,43803517,43805185,Cardiometabolic
PIK3AP1,2049,Q6ZUJ8,Phosphoinositide 3-kinase adapter protein 1,10,98353069,98480271,Inflammation
PIK3IP1,2050,Q96FE7,Phosphoinositide-3-kinase-interacting protein 1,22,31677579,31688520,Neurology
PILRA,2052,Q9UKJ1,Paired immunoglobulin-like type 2 receptor alpha,7,99965153,99997719,Neurology
PILRB,2053,Q9UKJ0,Paired immunoglobulin-like type 2 receptor beta,7,99933737,99965356,Cardiometabolic
PINLYP,2054,A6NC86,phospholipase A2 inhibitor and Ly6/PLAUR domain-containing protein,19,44080952,44088116,Inflammation II
PKD1,2056,P98161,Polycystin-1,16,2138711,2185899,Cardiometabolic II
PKLR,2058,P30613,Pyruvate kinase PKLR,1,155259630,155271225,Inflammation
PKN3,2059,Q6P5Z2,Serine/threonine-protein kinase N3,9,131464802,131483197,Oncology II
PLA2G10,2060,O15496,Group 10 secretory phospholipase A2,16,14766405,14788526,Neurology
PLA2G15,2061,Q8NCC3,Phospholipase A2 group XV,16,68279207,68294961,Oncology
PLA2G2A,2063,P14555,"Phospholipase A2, membrane associated",1,20301925,20306932,Cardiometabolic
PLAUR,2068,Q03405,Urokinase plasminogen activator surface receptor,19,44150247,44174699,Inflammation
PLB1,2069,Q6P1J6,"Phospholipase B1, membrane-associated",2,28680012,28866654,Neurology II
PLCB2,2071,Q00722,"1-phosphatidylinositol 4,5-bisphosphate phosphodiesterase beta-2",15,40570377,40600136,Neurology II
